base_frame_cluster,event_count,observed_gate_accepted,same_selected_goal,oracle_hidden_free_yield_difference,oracle_hidden_occupied_difference,route_length_difference_m,collision_route_difference,unknown_traversal_difference
a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,3,0.0,0.0,506.3333333333333,188.66666666666666,-2.8499999999999996,0.3333333333333333,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00050,2,0.0,0.0,-1064.5,12.0,-5.050000000000001,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00060,2,1.0,0.0,5.0,8.5,-0.8249999999999975,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,2,1.0,0.0,13.0,28.0,-10.200000000000003,0.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00080,1,1.0,0.0,-28.0,-15.0,-7.199999999999999,1.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00090,1,1.0,0.0,-1.0,0.0,-10.700000000000001,1.0,1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00110,1,1.0,0.0,0.0,1.0,-10.450000000000001,1.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00120,1,1.0,0.0,11.0,-1.0,-9.950000000000001,0.0,1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,2,1.0,0.0,11.5,28.5,-10.650000000000002,0.0,-0.5
a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,2,1.0,0.0,13.0,13.5,-9.950000000000001,0.5,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00150,1,1.0,0.0,1.0,1.0,-9.55,0.0,1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00160,3,1.0,0.0,22.333333333333332,-3.6666666666666665,-7.483333333333334,0.6666666666666666,0.3333333333333333
a3_ours_multi_ours_orb|predicted_raw|sync_step_00170,2,1.0,0.0,47.0,1.0,-6.275,0.5,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,1,1.0,0.0,25.0,2.0,-7.950000000000001,0.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00190,1,1.0,0.0,1.0,-3.0,-9.700000000000001,0.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,4,1.0,0.0,24.75,0.5,-5.937500000000001,1.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00210,1,1.0,0.0,2.0,15.0,-3.1499999999999986,-1.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00230,1,1.0,0.0,-7.0,-26.0,-6.200000000000003,-1.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00240,1,1.0,0.0,0.0,-18.0,-11.75,-1.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00250,1,1.0,0.0,-27.0,-2.0,-6.150000000000002,-1.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,2,1.0,0.0,-8.0,-3.5,-2.8999999999999986,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00270,2,1.0,0.0,-9.0,-1.0,-3.7499999999999982,-0.5,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00290,4,1.0,0.0,-1.75,-1.25,-4.050000000000001,0.0,0.5
a3_ours_multi_ours_orb|predicted_raw|sync_step_00310,2,1.0,0.0,3.0,3.0,-6.750000000000001,0.0,-0.5
a3_ours_multi_ours_orb|predicted_raw|sync_step_00340,1,1.0,0.0,15.0,1.0,-5.050000000000001,1.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00360,1,1.0,0.0,0.0,2.0,-3.1499999999999986,0.0,1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00380,1,1.0,0.0,2.0,0.0,-3.1000000000000014,0.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00390,2,1.0,0.5,0.5,0.0,-0.07499999999999929,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00420,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00430,1,1.0,0.0,-3.0,1.0,-0.8999999999999986,0.0,0.0
