event_id,base_frame_cluster,seed,target_step,source_step,arm,observed_gate_accepted,observed_gate_score,observed_gate_threshold,observed_translation_error_m,observed_yaw_error_deg,observed_transform_within_thresholds,measured_persistent_hash,measured_path_grid_hash,frontier_candidate_hash,frontier_candidate_count,ranking_radius_m,ranking_radius_cells,source_prediction_included,selected_y,selected_x,selected_distance_cells,route_length_m,route_available,selected_prediction_free_support,selected_oracle_hidden_free_yield,selected_oracle_hidden_occupied,route_oracle_safe,route_oracle_collision_cells,route_oracle_unknown_cells,prediction_persisted,persistent_state_changed_by_ranking
SYN_a3_predicted_raw_P_s11_00200_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,11,200,200,measured_farthest,true,0.588624598650154,0.2,0.10834221726402848,0.07582706426049413,true,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,3e71478c28e2756d96e2acf97e3f9a03e72b6e632f9a9cd39b790a7231d35b98,1144,1.0,20,true,281,891,452,22.6,true,23,0,1,false,0,1,false,false
SYN_a3_predicted_raw_P_s11_00200_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,11,200,200,predicted_free_ranking,true,0.588624598650154,0.2,0.10834221726402848,0.07582706426049413,true,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,3e71478c28e2756d96e2acf97e3f9a03e72b6e632f9a9cd39b790a7231d35b98,1144,1.0,20,true,116,271,333,16.650000000000002,true,178,21,4,false,36,1,false,false
SYN_a3_predicted_raw_P_s11_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,11,140,140,measured_farthest,true,0.7513855280618219,0.2,0.0433835206856056,0.058347376143814245,true,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,52e96b6c7d683afef1fea2774eaf2e3f95e5ecdf8edf28dbe549b1fedd06048c,1098,1.0,20,true,281,891,452,22.6,true,23,0,0,true,0,0,false,false
SYN_a3_predicted_raw_P_s11_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,11,140,140,predicted_free_ranking,true,0.7513855280618219,0.2,0.0433835206856056,0.058347376143814245,true,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,52e96b6c7d683afef1fea2774eaf2e3f95e5ecdf8edf28dbe549b1fedd06048c,1098,1.0,20,true,405,444,259,12.950000000000001,true,150,5,3,false,7,10,false,false
SYN_a3_predicted_raw_P_s11_00070_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,11,70,70,measured_farthest,true,0.5922806135277847,0.2,0.07475833567844616,0.038335557666869136,true,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,a40718378a44da8c5257ff9480d6366dddbbf636b2535c99ad7fb82b019811c5,1220,1.0,20,true,286,868,434,21.700000000000003,true,0,4,3,false,6,8,false,false
SYN_a3_predicted_raw_P_s11_00070_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,11,70,70,predicted_free_ranking,true,0.5922806135277847,0.2,0.07475833567844616,0.038335557666869136,true,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,a40718378a44da8c5257ff9480d6366dddbbf636b2535c99ad7fb82b019811c5,1220,1.0,20,true,230,648,230,11.5,true,401,31,29,false,11,0,false,false
SYN_a3_predicted_raw_P_s11_00180_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,11,180,180,measured_farthest,true,0.7707918822124951,0.2,0.030872508650359384,0.179828834702505,true,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,14ca1ab1cbfbb30ad7ddb55e5d8938678d78199d5c35fad7adc1ed1f95996b26,1104,1.0,20,true,281,891,452,22.6,true,23,0,5,false,0,1,false,false
SYN_a3_predicted_raw_P_s11_00180_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,11,180,180,predicted_free_ranking,true,0.7707918822124951,0.2,0.030872508650359384,0.179828834702505,true,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,14ca1ab1cbfbb30ad7ddb55e5d8938678d78199d5c35fad7adc1ed1f95996b26,1104,1.0,20,true,120,309,293,14.65,true,183,25,7,true,0,0,false,false
SYN_a3_predicted_raw_P_s11_00260_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,11,260,260,measured_farthest,true,0.8619647105471848,0.2,0.02799874073988974,0.0064848552515570645,true,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,df37dfdd8c1246229088617cddafe4c36e454d341cce90c1681c28db9a6cbbab,711,1.0,20,true,342,20,620,31.0,true,6,13,3,false,20,0,false,false
SYN_a3_predicted_raw_P_s11_00260_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,11,260,260,predicted_free_ranking,true,0.8619647105471848,0.2,0.02799874073988974,0.0064848552515570645,true,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,df37dfdd8c1246229088617cddafe4c36e454d341cce90c1681c28db9a6cbbab,711,1.0,20,true,293,46,551,27.55,true,123,0,6,false,22,0,false,false
