base_frame_cluster,event_count,observed_gate_accepted,provisional_support_gain_cells,reachable_free_difference_cells,reachable_frontier_difference,route_length_difference_m,route_availability_difference,collision_route_difference,unknown_traversal_difference
a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,3,0.0,11273.0,-27.0,-16.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00050,2,0.0,12798.0,-32.0,-19.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00060,2,1.0,18814.5,-171.5,-117.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,2,1.0,23182.0,484.0,77.5,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00080,1,1.0,29272.0,-169.0,-116.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00090,1,1.0,17192.0,-178.0,-120.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00110,1,1.0,17420.0,-104.0,-102.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00120,1,1.0,16239.0,224.0,68.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,2,1.0,18712.0,-146.5,-97.5,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,2,1.0,18418.5,-144.5,-98.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00150,1,1.0,19011.0,-100.0,-72.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00160,3,1.0,27388.0,10873.333333333334,1067.6666666666667,12.4,0.0,0.6666666666666666,0.3333333333333333
a3_ours_multi_ours_orb|predicted_raw|sync_step_00170,2,1.0,21084.5,-67.5,-56.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,1,1.0,27240.0,-193.0,-118.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00190,1,1.0,20098.0,-126.0,-88.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,4,1.0,20188.5,-134.5,-85.75,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00210,1,1.0,22990.0,518.0,140.0,1.1499999999999986,0.0,0.0,1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00230,1,1.0,31373.0,271.0,11.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00240,1,1.0,20987.0,-119.0,-78.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00250,1,1.0,18625.0,-47.0,-69.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,2,1.0,21595.5,-4.5,-52.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00270,2,1.0,21053.5,-67.0,-62.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00290,4,1.0,22032.25,-80.25,-54.25,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00310,2,1.0,20747.5,-104.0,-68.5,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00340,1,1.0,21824.0,-40.0,-47.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00360,1,1.0,22549.0,-87.0,-64.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00380,1,1.0,21016.0,-76.0,-48.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00390,2,1.0,19965.0,-80.5,-52.5,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00420,1,1.0,21352.0,390.0,135.0,3.3500000000000014,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00430,1,1.0,22198.0,-67.0,-100.0,0.10000000000000142,0.0,0.0,0.0
