event_id,base_frame_cluster,seed,target_step,source_step,arm,observed_gate_accepted,observed_gate_score,observed_gate_threshold,observed_reject_reason,observed_translation_error_m,observed_yaw_error_deg,observed_transform_within_thresholds,measured_atomic_committed,measured_changed_cells,measured_persistent_hash,planner_input_hash,prediction_persisted,source_prediction_included,measured_known_support_cells,planner_known_support_cells,provisional_support_gain_cells,provisional_free_gain_cells,provisional_occupied_gain_cells,reachable_free_cells,reachable_frontiers,route_available,route_length_m,route_oracle_safe,route_oracle_collision_cells,route_oracle_unknown_cells,persistent_hash_after_planning,persistent_state_changed_by_planning
SYN_a3_predicted_raw_P_s11_00200_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,11,200,200,measured_only,true,0.588624598650154,0.2,accepted,0.10834221726402848,0.07582706426049413,true,true,37452,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,false,true,176570,176570,0,0,0,139471,1144,true,22.6,false,0,1,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,false
SYN_a3_predicted_raw_P_s11_00200_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,11,200,200,measured_plus_provisional,true,0.588624598650154,0.2,accepted,0.10834221726402848,0.07582706426049413,true,true,37452,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,60f47567224fa1d81fbbda4852010a5f156b66eb7b1707dc7f2760139136b312,false,true,176570,194479,17909,7390,10519,139353,1061,true,22.6,false,0,1,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,false
SYN_a3_predicted_raw_P_s11_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,11,140,140,measured_only,true,0.7513855280618219,0.2,accepted,0.0433835206856056,0.058347376143814245,true,true,27690,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,false,true,146456,146456,0,0,0,118736,1098,true,22.6,true,0,0,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,false
SYN_a3_predicted_raw_P_s11_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,11,140,140,measured_plus_provisional,true,0.7513855280618219,0.2,accepted,0.0433835206856056,0.058347376143814245,true,true,27690,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,86a3453eb0abef20c2c98611a1c615cfaeaf20700c9ce58cd923abc38ee3ee24,false,true,146456,164402,17946,6130,11816,118601,1008,true,22.6,true,0,0,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,false
SYN_a3_predicted_raw_P_s11_00070_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,11,70,70,measured_only,true,0.5922806135277847,0.2,accepted,0.07475833567844616,0.038335557666869136,true,true,33882,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,false,true,120853,120853,0,0,0,99731,1220,true,21.700000000000003,false,6,8,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,false
SYN_a3_predicted_raw_P_s11_00070_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,11,70,70,measured_plus_provisional,true,0.5922806135277847,0.2,accepted,0.07475833567844616,0.038335557666869136,true,true,33882,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,79249d58883da81614c7e7dcd3364d9a1be14ae45ad5f23fe0f4fc4cc2c18019,false,true,120853,144485,23632,15359,8273,100217,1285,true,21.700000000000003,false,6,8,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,false
SYN_a3_predicted_raw_P_s11_00180_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,11,180,180,measured_only,true,0.7707918822124951,0.2,accepted,0.030872508650359384,0.179828834702505,true,true,38423,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,false,true,176901,176901,0,0,0,141069,1104,true,22.6,false,0,1,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,false
SYN_a3_predicted_raw_P_s11_00180_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,11,180,180,measured_plus_provisional,true,0.7707918822124951,0.2,accepted,0.030872508650359384,0.179828834702505,true,true,38423,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,5800d6ee82b54657ce88df21d1ecdf63ec5270c501db79d8c774da3ccd5fc9ea,false,true,176901,204141,27240,14925,12315,140876,986,true,22.6,false,0,1,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,false
SYN_a3_predicted_raw_P_s11_00260_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,11,260,260,measured_only,true,0.8619647105471848,0.2,accepted,0.02799874073988974,0.0064848552515570645,true,true,41273,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,false,true,228030,228030,0,0,0,182044,711,true,31.0,false,20,0,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,false
SYN_a3_predicted_raw_P_s11_00260_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,11,260,260,measured_plus_provisional,true,0.8619647105471848,0.2,accepted,0.02799874073988974,0.0064848552515570645,true,true,41273,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,ee743e6a6c3122fba7cefedb5d1f071c9fefe463926988e9146ee4af161e9daf,false,true,228030,249843,21813,4331,17482,182032,655,true,31.0,false,20,0,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,false
