base_frame_cluster,evaluation_role,event_count,correct_positive_accept_difference,incorrect_positive_accept_difference,indeterminate_challenge_accept_difference,false_accept_known_injection_difference,coverage_gain_difference_cells,collision_route_difference
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00010_a3_ours_multi_ours_orb_00020,indeterminate_abstention_challenge,5,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00010_a3_ours_multi_ours_orb_00030,indeterminate_abstention_challenge,5,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00010_a3_ours_multi_ours_orb_00040,indeterminate_abstention_challenge,5,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00010_a3_ours_multi_ours_orb_00060,indeterminate_abstention_challenge,6,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00010_a3_ours_multi_ours_orb_00070,indeterminate_abstention_challenge,7,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00020_a3_ours_multi_ours_orb_00010,indeterminate_abstention_challenge,5,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00020_a3_ours_multi_ours_orb_00030,indeterminate_abstention_challenge,6,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00020_a3_ours_multi_ours_orb_00070,indeterminate_abstention_challenge,5,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|frozen_temporal_mismatch_low_support_iou_00030_a3_ours_multi_ours_orb_00010,indeterminate_abstention_challenge,6,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,known_transform_positive,3,0.0,0.0,0.0,0.0,0.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00050,known_transform_positive,2,1.0,0.0,0.0,0.0,48367.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00060,known_transform_positive,2,0.0,0.0,0.0,0.0,340.5,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,known_transform_positive,2,0.0,0.0,0.0,0.0,354.5,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00080,known_transform_positive,1,0.0,0.0,0.0,0.0,540.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00090,known_transform_positive,1,0.0,0.0,0.0,0.0,114.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00110,known_transform_positive,1,0.0,0.0,0.0,0.0,1496.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00120,known_transform_positive,1,0.0,0.0,0.0,0.0,-1243.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,known_transform_positive,2,-0.5,0.5,0.0,0.0,862.5,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,known_transform_positive,2,0.0,0.0,0.0,0.0,342.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00150,known_transform_positive,1,0.0,0.0,0.0,0.0,696.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00160,known_transform_positive,3,0.0,0.0,0.0,0.0,-209.66666666666666,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00170,known_transform_positive,2,0.0,0.0,0.0,0.0,-46.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,known_transform_positive,1,0.0,0.0,0.0,0.0,-319.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00190,known_transform_positive,1,0.0,0.0,0.0,0.0,469.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,known_transform_positive,4,0.0,0.0,0.0,0.0,58.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00210,known_transform_positive,1,0.0,0.0,0.0,0.0,728.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00230,known_transform_positive,1,0.0,0.0,0.0,0.0,-98.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00240,known_transform_positive,1,0.0,0.0,0.0,0.0,-567.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00250,known_transform_positive,1,0.0,0.0,0.0,0.0,-588.0,-1.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,known_transform_positive,2,0.0,0.0,0.0,0.0,77.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00270,known_transform_positive,2,0.0,0.0,0.0,0.0,145.5,-0.5
a3_ours_multi_ours_orb|predicted_raw|sync_step_00290,known_transform_positive,4,0.0,0.0,0.0,0.0,276.0,0.25
a3_ours_multi_ours_orb|predicted_raw|sync_step_00310,known_transform_positive,2,0.0,0.0,0.0,0.0,444.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00340,known_transform_positive,1,0.0,0.0,0.0,0.0,-119.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00360,known_transform_positive,1,0.0,0.0,0.0,0.0,433.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00380,known_transform_positive,1,0.0,0.0,0.0,0.0,-441.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00390,known_transform_positive,2,0.0,0.0,0.0,0.0,100.5,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00420,known_transform_positive,1,0.0,0.0,0.0,0.0,830.0,0.0
a3_ours_multi_ours_orb|predicted_raw|sync_step_00430,known_transform_positive,1,0.0,0.0,0.0,0.0,-433.0,0.0
