t_s,known_cells,free_cells,occ_cells,known_area_m2,coverage_frac
0.000,1690,1555,135,4.2250,0.1072
0.746,1690,1555,135,4.2250,0.1072
1.746,1690,1555,135,4.2250,0.1072
2.746,1690,1555,135,4.2250,0.1072
3.745,1690,1555,135,4.2250,0.1072
4.746,1690,1555,135,4.2250,0.1072
5.748,1690,1555,135,4.2250,0.1072
6.746,1690,1555,135,4.2250,0.1072
7.746,3534,3309,225,8.8350,0.2242
8.746,6749,6356,393,16.8725,0.4281
9.746,8034,7582,452,20.0850,0.5096
10.747,8326,7854,472,20.8150,0.5281
11.746,9063,8550,513,22.6575,0.5748
12.747,9357,8844,513,23.3925,0.5935
