t_s,known_cells,free_cells,occ_cells,free_area_m2,known_area_m2
0.000,1306,1168,138,2.9200,3.2650
0.484,1306,1168,138,2.9200,3.2650
1.484,1306,1168,138,2.9200,3.2650
2.484,1306,1168,138,2.9200,3.2650
3.484,1306,1168,138,2.9200,3.2650
4.484,1306,1168,138,2.9200,3.2650
5.487,1306,1168,138,2.9200,3.2650
6.485,1306,1168,138,2.9200,3.2650
7.484,1306,1168,138,2.9200,3.2650
8.484,1306,1168,138,2.9200,3.2650
9.484,2340,2111,229,5.2775,5.8500
10.486,2340,2111,229,5.2775,5.8500
11.484,2340,2111,229,5.2775,5.8500
12.484,3128,2856,272,7.1400,7.8200
13.484,4315,3960,355,9.9000,10.7875
14.484,4539,4151,388,10.3775,11.3475
15.485,5384,4913,471,12.2825,13.4600
16.485,5604,5116,488,12.7900,14.0100
17.488,6025,5507,518,13.7675,15.0625
18.486,6025,5507,518,13.7675,15.0625
19.485,6025,5507,518,13.7675,15.0625
20.485,6158,5627,531,14.0675,15.3950
21.485,6249,5711,538,14.2775,15.6225
22.487,6269,5722,547,14.3050,15.6725
23.486,6407,5848,559,14.6200,16.0175
24.487,7123,6521,602,16.3025,17.8075
25.489,7205,6578,627,16.4450,18.0125
26.486,7205,6578,627,16.4450,18.0125
27.486,7444,6720,724,16.8000,18.6100
28.486,7561,6809,752,17.0225,18.9025
29.488,7612,6851,761,17.1275,19.0300
30.487,7660,6887,773,17.2175,19.1500
31.490,8112,7308,804,18.2700,20.2800
32.487,8112,7308,804,18.2700,20.2800
33.488,9729,8832,897,22.0800,24.3225
