t_s,known_cells,free_cells,occ_cells,free_area_m2,known_area_m2
0.000,1565,1398,167,3.4950,3.9125
0.927,1565,1398,167,3.4950,3.9125
1.926,1565,1398,167,3.4950,3.9125
2.926,1565,1398,167,3.4950,3.9125
3.927,1565,1398,167,3.4950,3.9125
4.926,1565,1398,167,3.4950,3.9125
5.927,1565,1398,167,3.4950,3.9125
6.926,1565,1398,167,3.4950,3.9125
7.926,1565,1398,167,3.4950,3.9125
8.929,1565,1398,167,3.4950,3.9125
9.926,1565,1398,167,3.4950,3.9125
10.926,1565,1398,167,3.4950,3.9125
11.928,1565,1398,167,3.4950,3.9125
12.926,1565,1398,167,3.4950,3.9125
13.926,1565,1398,167,3.4950,3.9125
14.926,1565,1398,167,3.4950,3.9125
15.926,1565,1398,167,3.4950,3.9125
16.926,1565,1398,167,3.4950,3.9125
17.927,1565,1398,167,3.4950,3.9125
18.926,1565,1398,167,3.4950,3.9125
19.926,1565,1398,167,3.4950,3.9125
20.926,1565,1398,167,3.4950,3.9125
21.927,1565,1398,167,3.4950,3.9125
22.929,1565,1398,167,3.4950,3.9125
23.926,1565,1398,167,3.4950,3.9125
24.927,1565,1398,167,3.4950,3.9125
25.926,1565,1398,167,3.4950,3.9125
26.926,1565,1398,167,3.4950,3.9125
27.927,1565,1398,167,3.4950,3.9125
28.926,1565,1398,167,3.4950,3.9125
29.927,1565,1398,167,3.4950,3.9125
30.927,1565,1398,167,3.4950,3.9125
31.927,1565,1398,167,3.4950,3.9125
32.926,1565,1398,167,3.4950,3.9125
33.926,1565,1398,167,3.4950,3.9125
34.926,1565,1398,167,3.4950,3.9125
35.926,1565,1398,167,3.4950,3.9125
36.926,1565,1398,167,3.4950,3.9125
37.926,1565,1398,167,3.4950,3.9125
38.927,1565,1398,167,3.4950,3.9125
39.927,1565,1398,167,3.4950,3.9125
40.927,1565,1398,167,3.4950,3.9125
41.927,1565,1398,167,3.4950,3.9125
42.927,1565,1398,167,3.4950,3.9125
43.926,1565,1398,167,3.4950,3.9125
44.926,1565,1398,167,3.4950,3.9125
45.927,1565,1398,167,3.4950,3.9125
46.926,2366,2108,258,5.2700,5.9150
47.927,2366,2108,258,5.2700,5.9150
48.927,3622,3263,359,8.1575,9.0550
49.926,3826,3444,382,8.6100,9.5650
50.927,3826,3444,382,8.6100,9.5650
51.927,3923,3521,402,8.8025,9.8075
52.929,3923,3521,402,8.8025,9.8075
53.928,3987,3567,420,8.9175,9.9675
54.928,4078,3646,432,9.1150,10.1950
55.929,4414,3932,482,9.8300,11.0350
56.928,4414,3932,482,9.8300,11.0350
57.929,4800,4284,516,10.7100,12.0000
58.928,5156,4624,532,11.5600,12.8900
59.933,5765,5193,572,12.9825,14.4125
60.928,5765,5193,572,12.9825,14.4125
61.928,5807,5232,575,13.0800,14.5175
62.930,5807,5232,575,13.0800,14.5175
63.928,5816,5246,570,13.1150,14.5400
64.928,5878,5317,561,13.2925,14.6950
65.929,5906,5347,559,13.3675,14.7650
66.931,6001,5416,585,13.5400,15.0025
67.929,6001,5416,585,13.5400,15.0025
68.929,6042,5428,614,13.5700,15.1050
69.928,6095,5433,662,13.5825,15.2375
70.929,6098,5424,674,13.5600,15.2450
71.929,6098,5424,674,13.5600,15.2450
72.929,6100,5424,676,13.5600,15.2500
73.931,6100,5424,676,13.5600,15.2500
74.931,6136,5455,681,13.6375,15.3400
75.931,6408,5692,716,14.2300,16.0200
76.931,7438,6650,788,16.6250,18.5950
77.930,7937,7119,818,17.7975,19.8425
78.929,8112,7282,830,18.2050,20.2800
79.931,8226,7388,838,18.4700,20.5650
80.931,8226,7388,838,18.4700,20.5650
81.930,8399,7556,843,18.8900,20.9975
82.931,8399,7556,843,18.8900,20.9975
83.929,8771,7915,856,19.7875,21.9275
84.931,9725,8836,889,22.0900,24.3125
