t_s,known_cells,free_cells,occ_cells,free_area_m2,known_area_m2
0.000,2578,2337,241,5.8425,6.4450
0.522,2578,2337,241,5.8425,6.4450
1.524,2578,2337,241,5.8425,6.4450
2.523,2578,2337,241,5.8425,6.4450
3.524,2578,2337,241,5.8425,6.4450
4.524,2578,2337,241,5.8425,6.4450
5.523,2578,2337,241,5.8425,6.4450
6.523,2578,2337,241,5.8425,6.4450
7.523,2578,2337,241,5.8425,6.4450
8.523,3692,3309,383,8.2725,9.2300
9.524,4814,4351,463,10.8775,12.0350
10.524,5612,5060,552,12.6500,14.0300
11.524,5612,5060,552,12.6500,14.0300
12.524,6268,5626,642,14.0650,15.6700
13.526,6268,5626,642,14.0650,15.6700
14.526,6895,6174,721,15.4350,17.2375
15.524,6895,6174,721,15.4350,17.2375
16.524,6895,6174,721,15.4350,17.2375
17.523,6895,6174,721,15.4350,17.2375
18.525,6895,6174,721,15.4350,17.2375
19.523,6895,6174,721,15.4350,17.2375
20.523,6895,6174,721,15.4350,17.2375
21.524,6895,6174,721,15.4350,17.2375
22.523,6895,6174,721,15.4350,17.2375
23.524,7456,6671,785,16.6775,18.6400
24.526,7827,7018,809,17.5450,19.5675
25.526,7827,7018,809,17.5450,19.5675
26.524,7827,7018,809,17.5450,19.5675
27.527,8662,7767,895,19.4175,21.6550
28.526,9406,8402,1004,21.0050,23.5150
29.526,9406,8402,1004,21.0050,23.5150
30.524,9816,8767,1049,21.9175,24.5400
31.526,9816,8767,1049,21.9175,24.5400
32.527,9816,8767,1049,21.9175,24.5400
33.526,10478,9338,1140,23.3450,26.1950
34.525,11047,9833,1214,24.5825,27.6175
35.525,11381,10146,1235,25.3650,28.4525
36.530,11819,10561,1258,26.4025,29.5475
37.527,12678,11355,1323,28.3875,31.6950
38.525,13118,11752,1366,29.3800,32.7950
39.528,13570,12159,1411,30.3975,33.9250
40.528,13972,12474,1498,31.1850,34.9300
41.528,14230,12672,1558,31.6800,35.5750
42.534,14960,13255,1705,33.1375,37.4000
43.531,15275,13498,1777,33.7450,38.1875
44.529,15766,13827,1939,34.5675,39.4150
