t_s,known_cells,free_cells,occ_cells,free_area_m2,known_area_m2
0.000,865,762,103,1.9050,2.1625
0.756,865,762,103,1.9050,2.1625
1.756,865,762,103,1.9050,2.1625
2.756,865,762,103,1.9050,2.1625
3.756,865,762,103,1.9050,2.1625
4.756,865,762,103,1.9050,2.1625
5.756,865,762,103,1.9050,2.1625
6.756,865,762,103,1.9050,2.1625
7.756,865,762,103,1.9050,2.1625
8.756,2467,2237,230,5.5925,6.1675
9.757,3501,3220,281,8.0500,8.7525
10.756,4176,3846,330,9.6150,10.4400
11.756,4255,3909,346,9.7725,10.6375
12.757,4294,3941,353,9.8525,10.7350
13.756,4294,3941,353,9.8525,10.7350
14.756,4373,4003,370,10.0075,10.9325
15.756,4373,4003,370,10.0075,10.9325
16.756,4373,4003,370,10.0075,10.9325
17.757,4373,4003,370,10.0075,10.9325
18.758,4373,4003,370,10.0075,10.9325
19.757,4373,4003,370,10.0075,10.9325
20.757,4373,4003,370,10.0075,10.9325
21.758,4373,4003,370,10.0075,10.9325
22.756,4373,4003,370,10.0075,10.9325
23.757,4384,4016,368,10.0400,10.9600
24.757,4384,4016,368,10.0400,10.9600
25.758,4384,4016,368,10.0400,10.9600
26.757,4384,4016,368,10.0400,10.9600
27.757,4470,4070,400,10.1750,11.1750
28.757,4629,4186,443,10.4650,11.5725
29.757,4739,4272,467,10.6800,11.8475
30.757,5087,4587,500,11.4675,12.7175
31.757,5655,5109,546,12.7725,14.1375
32.757,6228,5644,584,14.1100,15.5700
33.758,6601,5980,621,14.9500,16.5025
34.758,7239,6542,697,16.3550,18.0975
35.759,7771,7029,742,17.5725,19.4275
36.758,8052,7282,770,18.2050,20.1300
37.760,8052,7282,770,18.2050,20.1300
38.760,8125,7337,788,18.3425,20.3125
39.763,8125,7337,788,18.3425,20.3125
40.759,8125,7337,788,18.3425,20.3125
41.759,8125,7337,788,18.3425,20.3125
42.760,8125,7337,788,18.3425,20.3125
43.759,8125,7337,788,18.3425,20.3125
44.759,8125,7337,788,18.3425,20.3125
45.759,8125,7337,788,18.3425,20.3125
46.758,8125,7337,788,18.3425,20.3125
47.758,8204,7409,795,18.5225,20.5100
48.760,8260,7462,798,18.6550,20.6500
49.759,8406,7570,836,18.9250,21.0150
50.759,8446,7603,843,19.0075,21.1150
51.760,8728,7866,862,19.6650,21.8200
52.761,9454,8563,891,21.4075,23.6350
53.765,10395,9452,943,23.6300,25.9875
54.761,10954,9941,1013,24.8525,27.3850
55.760,11188,10127,1061,25.3175,27.9700
56.759,11188,10127,1061,25.3175,27.9700
57.760,11232,10166,1066,25.4150,28.0800
58.761,11232,10166,1066,25.4150,28.0800
59.759,11232,10166,1066,25.4150,28.0800
60.760,11232,10166,1066,25.4150,28.0800
61.759,11232,10166,1066,25.4150,28.0800
62.759,11232,10166,1066,25.4150,28.0800
63.764,11232,10166,1066,25.4150,28.0800
64.761,11232,10166,1066,25.4150,28.0800
65.760,11232,10166,1066,25.4150,28.0800
66.760,11232,10166,1066,25.4150,28.0800
