step,coverage,merge_success,n_explored,n_acc_black,mso_coverage
1,0.057127,0,31569,552609,0.057127
2,0.074925,0,41404,552609,0.057127
3,0.089501,0,49459,552609,0.057127
4,0.114182,0,63098,552609,0.057127
5,0.165385,0,91393,552609,0.057127
6,0.233990,1,129305,552609,0.169872
7,0.287190,1,158704,552609,0.195359
8,0.317630,1,175525,552609,0.197322
9,0.403515,1,222986,552609,0.210751
10,0.456904,1,252489,552609,0.230673
11,0.480745,1,265664,552609,0.240461
12,0.518935,1,286768,552609,0.241116
13,0.557394,1,308021,552609,0.256959
14,0.592886,1,327634,552609,0.262895
15,0.620862,1,343094,552609,0.268763
16,0.657843,1,363530,552609,0.268763
17,0.694245,1,383646,552609,0.269710
18,0.718810,1,397221,552609,0.281398
19,0.747910,1,413302,552609,0.456524
20,0.763504,1,421919,552609,0.623985
21,0.770985,1,426053,552609,0.625174
22,0.771764,1,426484,552609,0.625614
23,0.776996,1,429375,552609,0.631988
24,0.803659,1,444109,552609,0.664828
25,0.816711,1,451322,552609,0.678273
26,0.816966,1,451463,552609,0.816966
27,0.820352,1,453334,552609,0.820352
28,0.820372,1,453345,552609,0.820372
29,0.820472,1,453400,552609,0.820472
30,0.845462,1,467210,552609,0.845462
31,0.853958,1,471905,552609,0.853958
32,0.860093,1,475295,552609,0.860093
33,0.860096,1,475297,552609,0.860096
34,0.860125,1,475313,552609,0.860125
35,0.860324,1,475423,552609,0.860324
36,0.861173,1,475892,552609,0.861173
37,0.865491,1,478278,552609,0.865491
38,0.865491,1,478278,552609,0.865491
39,0.865563,1,478318,552609,0.865563
40,0.866620,1,478902,552609,0.866620
41,0.867574,1,479429,552609,0.867574
42,0.870322,1,480948,552609,0.870322
43,0.870322,1,480948,552609,0.870322
44,0.870753,1,481186,552609,0.870753
45,0.870753,1,481186,552609,0.870753
46,0.870930,1,481284,552609,0.870930
47,0.871891,1,481815,552609,0.871891
48,0.872264,1,482021,552609,0.872264
49,0.880738,1,486704,552609,0.880738
50,0.881147,1,486930,552609,0.881147
51,0.882313,1,487574,552609,0.882313
52,0.891440,1,492618,552609,0.891440
53,0.891623,1,492719,552609,0.891623
54,0.892119,1,492993,552609,0.892119
55,0.896585,1,495461,552609,0.896585
56,0.927413,1,512497,552609,0.927413
57,0.927413,1,512497,552609,0.927413
58,0.927413,1,512497,552609,0.927413
59,0.927835,1,512730,552609,0.927835
60,0.938349,1,518540,552609,0.938349
61,0.938358,1,518545,552609,0.938358
62,0.938358,1,518545,552609,0.938358
63,0.938358,1,518545,552609,0.938358
64,0.938358,1,518545,552609,0.938358
65,0.938360,1,518546,552609,0.938360
66,0.938903,1,518846,552609,0.938903
67,0.938903,1,518846,552609,0.938903
68,0.938903,1,518846,552609,0.938903
69,0.938903,1,518846,552609,0.938903
70,0.939840,1,519364,552609,0.939840
71,0.939862,1,519376,552609,0.939862
72,0.939862,1,519376,552609,0.939862
73,0.939862,1,519376,552609,0.939862
74,0.939862,1,519376,552609,0.939862
75,0.939862,1,519376,552609,0.939862
76,0.939872,1,519382,552609,0.939872
77,0.939920,1,519408,552609,0.939920
78,0.939927,1,519412,552609,0.939927
79,0.939927,1,519412,552609,0.939927
80,0.939927,1,519412,552609,0.939927
81,0.939927,1,519412,552609,0.939927
82,0.939927,1,519412,552609,0.939927
83,0.939927,1,519412,552609,0.939927
84,0.939927,1,519412,552609,0.939927
85,0.939927,1,519412,552609,0.939927
86,0.939927,1,519412,552609,0.939927
87,0.939927,1,519412,552609,0.939927
88,0.939927,1,519412,552609,0.939927
89,0.939930,1,519414,552609,0.939930
90,0.940584,1,519775,552609,0.940584
91,0.942750,1,520972,552609,0.942750
92,0.942750,1,520972,552609,0.942750
93,0.942750,1,520972,552609,0.942750
94,0.942750,1,520972,552609,0.942750
95,0.942750,1,520972,552609,0.942750
96,0.942750,1,520972,552609,0.942750
