step,coverage,merge_success,n_explored,n_acc_black,mso_coverage
1,0.042558,0,9023,212015,0.042558
2,0.059467,0,12608,212015,0.059467
3,0.147145,0,31197,212015,0.147145
4,0.162701,0,34495,212015,0.162701
5,0.375841,0,79684,212015,0.292460
6,0.454048,0,96265,212015,0.295531
7,0.539556,1,114394,212015,0.538528
8,0.557970,1,118298,212015,0.557970
9,0.571040,1,121069,212015,0.571040
10,0.576733,1,122276,212015,0.576733
11,0.585624,1,124161,212015,0.585624
12,0.585666,1,124170,212015,0.585666
13,0.586029,1,124247,212015,0.586029
14,0.586029,1,124247,212015,0.586029
15,0.643799,1,136495,212015,0.643799
16,0.653076,1,138462,212015,0.653076
17,0.653076,1,138462,212015,0.653076
18,0.667165,1,141449,212015,0.667165
19,0.671349,1,142336,212015,0.671349
20,0.671481,1,142364,212015,0.671481
21,0.671481,1,142364,212015,0.671481
22,0.671481,1,142364,212015,0.671481
23,0.671481,1,142364,212015,0.671481
24,0.671481,1,142364,212015,0.671481
25,0.672226,1,142522,212015,0.672226
26,0.672226,1,142522,212015,0.672226
27,0.675603,1,143238,212015,0.675603
28,0.676660,1,143462,212015,0.676660
29,0.676660,1,143462,212015,0.676660
30,0.684801,1,145188,212015,0.684801
31,0.777511,1,164844,212015,0.777511
32,0.784581,1,166343,212015,0.784581
33,0.850643,1,180349,212015,0.850643
34,0.853463,1,180947,212015,0.853463
35,0.882093,1,187017,212015,0.882093
36,0.928779,1,196915,212015,0.928779
37,0.953555,1,202168,212015,0.953555
