step,coverage,merge_success,n_explored,n_acc_black,mso_coverage
1,0.104252,0,22103,212015,0.055378
2,0.193515,0,41028,212015,0.086234
3,0.279966,0,59357,212015,0.117812
4,0.382732,1,81145,212015,0.382704
5,0.394939,1,83733,212015,0.394939
6,0.462977,1,98158,212015,0.462977
7,0.463184,1,98202,212015,0.463184
8,0.517926,1,109808,212015,0.517926
9,0.561154,1,118973,212015,0.561154
10,0.561432,1,119032,212015,0.561432
11,0.561432,1,119032,212015,0.561432
12,0.562106,1,119175,212015,0.562106
13,0.562106,1,119175,212015,0.562106
14,0.565616,1,119919,212015,0.565616
15,0.571139,1,121090,212015,0.571139
16,0.608231,1,128954,212015,0.608231
17,0.644209,1,136582,212015,0.644209
18,0.678098,1,143767,212015,0.678098
19,0.679631,1,144092,212015,0.679631
20,0.747617,1,158506,212015,0.747617
21,0.752437,1,159528,212015,0.752437
22,0.775332,1,164382,212015,0.775332
23,0.785331,1,166502,212015,0.785331
24,0.811013,1,171947,212015,0.811013
25,0.838912,1,177862,212015,0.838912
26,0.857420,1,181786,212015,0.857420
27,0.857420,1,181786,212015,0.857420
28,0.857420,1,181786,212015,0.857420
29,0.857420,1,181786,212015,0.857420
30,0.859482,1,182223,212015,0.859482
31,0.866071,1,183620,212015,0.866071
32,0.866071,1,183620,212015,0.866071
33,0.866071,1,183620,212015,0.866071
34,0.866071,1,183620,212015,0.866071
35,0.866071,1,183620,212015,0.866071
36,0.866071,1,183620,212015,0.866071
37,0.866071,1,183620,212015,0.866071
38,0.866071,1,183620,212015,0.866071
39,0.866076,1,183621,212015,0.866076
40,0.866359,1,183681,212015,0.866359
41,0.867557,1,183935,212015,0.867557
42,0.867557,1,183935,212015,0.867557
43,0.876061,1,185738,212015,0.876061
44,0.896569,1,190086,212015,0.896569
45,0.950919,1,201609,212015,0.950919
