step,coverage,merge_success,n_explored,n_acc_black,mso_coverage
1,0.091432,0,19385,212015,0.042558
2,0.145674,1,30885,212015,0.074202
3,0.258600,0,54827,212015,0.108639
4,0.352121,1,74655,212015,0.352121
5,0.421381,1,89339,212015,0.421381
6,0.485102,1,102849,212015,0.485102
7,0.544358,1,115412,212015,0.544358
8,0.575898,1,122099,212015,0.575898
9,0.588869,1,124849,212015,0.588869
10,0.626710,1,132872,212015,0.626710
11,0.653529,1,138558,212015,0.653529
12,0.678848,1,143926,212015,0.678848
13,0.687975,1,145861,212015,0.687975
14,0.687975,1,145861,212015,0.687975
15,0.688432,1,145958,212015,0.688432
16,0.690678,1,146434,212015,0.690678
17,0.695649,1,147488,212015,0.695649
18,0.705007,1,149472,212015,0.705007
19,0.770512,1,163360,212015,0.770512
20,0.776252,1,164577,212015,0.776252
21,0.776459,1,164621,212015,0.776459
22,0.776577,1,164646,212015,0.776577
23,0.776577,1,164646,212015,0.776577
24,0.776822,1,164698,212015,0.776822
25,0.776822,1,164698,212015,0.776822
26,0.776822,1,164698,212015,0.776822
27,0.776822,1,164698,212015,0.776822
28,0.776822,1,164698,212015,0.776822
29,0.782841,1,165974,212015,0.782841
30,0.782846,1,165975,212015,0.782846
31,0.782860,1,165978,212015,0.782860
32,0.782860,1,165978,212015,0.782860
33,0.782860,1,165978,212015,0.782860
34,0.782860,1,165978,212015,0.782860
35,0.782860,1,165978,212015,0.782860
36,0.783011,1,166010,212015,0.783011
37,0.785558,1,166550,212015,0.785558
38,0.799708,1,169550,212015,0.799708
39,0.843865,1,178912,212015,0.843865
40,0.880565,1,186693,212015,0.880565
41,0.881513,1,186894,212015,0.881513
42,0.881523,1,186896,212015,0.881523
43,0.891956,1,189108,212015,0.891956
44,0.906002,1,192086,212015,0.906002
45,0.952126,1,201865,212015,0.952126
