bag,registration_attempts_replayed,legacy_replay_accepts,legacy_replay_rejects,recorded_merged_publications,recorded_publications_exactly_reproduced,recorded_publication_reproduction_fraction,recorded_publications_without_exact_replay,verified_legacy_structure_invalid,verified_legacy_unsafe_proxy_0p25m_5deg,verified_legacy_unsafe_proxy_0p50m_10deg,legacy_candidate_local_gate_accepts,legacy_candidate_local_gate_rejects,legacy_gated_counterfactual_commits,rigid_candidates,rigid_local_gate_accepts,rigid_local_gate_rejects,rigid_gated_counterfactual_commits,rigid_gated_counterfactual_rejects,rigid_gated_commit_within_0p25m_5deg,rigid_gated_commit_outside_0p25m_5deg,rigid_gated_commit_within_0p50m_10deg,rigid_gated_commit_outside_0p50m_10deg,rigid_gated_rejected_bad_candidate_proxy_0p25m_5deg,rigid_gated_rejected_good_candidate_proxy_0p25m_5deg,rigid_gated_rejected_bad_candidate_proxy_0p50m_10deg,rigid_gated_rejected_good_candidate_proxy_0p50m_10deg,recommended_fail_closed_commits,recommended_fail_closed_rejects,legacy_bad_verified_events_tight,legacy_bad_events_with_later_good_candidate_tight,legacy_later_good_candidate_median_event_gap_tight,legacy_later_good_candidate_median_seconds_tight,legacy_bad_verified_events_relaxed,legacy_bad_events_with_later_good_candidate_relaxed,legacy_later_good_candidate_median_event_gap_relaxed,legacy_later_good_candidate_median_seconds_relaxed,uav_reference_pairs,uav_reported_rms_first_label_m,uav_reported_rms_second_label_m
sense1-1,222,217,5,213,184,0.863849765258216,29,175,184,181,4,218,0,217,5,217,0,222,0,0,0,0,219,3,211,11,0,222,184,0,nan,nan,181,173,75.0,50.277941103,51,0.49444530801808745,0.24195905310485552
sense1-2,167,155,12,152,149,0.9802631578947368,3,138,149,149,4,163,0,155,10,157,3,164,0,3,0,3,164,0,164,0,0,167,149,0,nan,nan,149,0,nan,nan,155,0.5248155064423187,0.29565101600850535
sense2-1,205,186,19,189,171,0.9047619047619048,18,165,171,171,0,205,0,186,1,204,0,205,0,0,0,0,205,0,205,0,0,205,171,0,nan,nan,171,0,nan,nan,178,0.28220991629241904,0.2803579098068588
sense2-2,153,145,8,147,116,0.7891156462585034,31,113,116,116,0,153,0,145,10,143,3,150,0,3,0,3,150,0,150,0,0,153,116,0,nan,nan,116,0,nan,nan,137,0.39382307009737116,0.2663866684464708
sense3-1,110,105,5,108,94,0.8703703703703703,14,89,94,94,0,110,0,105,0,110,0,110,0,0,0,0,110,0,110,0,0,110,94,0,nan,nan,94,0,nan,nan,110,0.4574295402907158,0.42410259473137235
sense3-2,113,113,0,116,108,0.9310344827586207,8,105,108,106,2,111,0,113,2,111,0,113,0,0,0,0,113,0,104,9,0,113,108,0,nan,nan,106,104,52.5,26.5304942695,105,0.4480013792305012,0.28347869062639053
sense4-1,159,149,10,144,131,0.9097222222222222,13,131,131,131,0,159,0,149,0,159,0,159,0,0,0,0,159,0,159,0,0,159,131,0,nan,nan,131,0,nan,nan,170,0.5947061239469191,0.43392898364487176
sense4-2,173,172,1,143,116,0.8111888111888111,27,107,116,113,6,167,0,172,16,157,2,171,0,2,2,0,171,0,155,16,0,173,116,0,nan,nan,113,111,56.0,42.116912853,179,0.4129532534903371,0.3616964040179953
sense5-1,195,150,45,142,130,0.9154929577464789,12,115,130,116,13,182,0,150,11,184,0,195,0,0,0,0,194,1,170,25,0,195,130,0,nan,nan,116,116,51.5,41.465721883,196,0.23845582426825793,0.19468930182767824
sense5-2,147,129,18,131,126,0.9618320610687023,5,125,126,126,0,147,0,129,0,147,0,147,0,0,0,0,142,5,141,6,0,147,126,0,nan,nan,126,0,nan,nan,149,0.27213606199050006,0.3203485777394821
ALL,1644,1521,123,1485,1325,0.8922558922558923,160,1263,1325,1303,29,1615,0,1521,55,1589,8,1636,0,8,2,6,1627,9,1569,67,0,1644,1325,0,nan,nan,1303,504,nan,nan,1430,nan,nan
