bag,topic,message_type,message_count
sense1-1,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense1-1,/tf,tf2_msgs/msg/TFMessage,2206
sense1-1,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense1-1,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense1-1,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense1-1,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense1-1,/merged_map,nav_msgs/msg/OccupancyGrid,213
sense1-1,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,112
sense1-1,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense1-1,/robot_0/map,nav_msgs/msg/OccupancyGrid,33
sense1-1,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense1-1,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,111
sense1-1,/traveling_distance,std_msgs/msg/Float32,0
sense1-1,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense1-1,/robot_1/map,nav_msgs/msg/OccupancyGrid,31
sense1-1,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense1-1,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense1-1,/rosout,rcl_interfaces/msg/Log,10
sense1-1,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense1-1,/clicked_point,geometry_msgs/msg/PointStamped,0
sense1-1,/explored_volume,std_msgs/msg/Float32,0
sense1-1,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,111
sense1-1,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense1-1,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense1-1,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,112
sense1-1,/explored_areas,sensor_msgs/msg/PointCloud2,0
sense1-2,/tf,tf2_msgs/msg/TFMessage,1632
sense1-2,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense1-2,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense1-2,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense1-2,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense1-2,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense1-2,/merged_map,nav_msgs/msg/OccupancyGrid,152
sense1-2,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,84
sense1-2,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense1-2,/robot_0/map,nav_msgs/msg/OccupancyGrid,27
sense1-2,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense1-2,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,84
sense1-2,/traveling_distance,std_msgs/msg/Float32,0
sense1-2,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
