bag,output_index,record_time_ns,width,height,occupied_cells,raster_sha256,exact_replay_match,matched_attempt_index,hash_multiplicity_in_recorded,startup_or_unrecovered
sense1-1,0,1746434299894037472,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,0,,12,1
sense1-1,1,1746434300321981140,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,0,,12,1
sense1-1,2,1746434300873138395,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,0,,12,1
sense1-1,3,1746434301299582674,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,0,12,0
sense1-1,4,1746434301891442403,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,1,12,0
sense1-1,5,1746434302323891006,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,2,12,0
sense1-1,6,1746434302869062142,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,3,12,0
sense1-1,7,1746434303293406321,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,4,12,0
sense1-1,8,1746434303875878681,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,5,12,0
sense1-1,9,1746434304301555393,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,6,12,0
sense1-1,10,1746434304863007562,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,7,12,0
sense1-1,11,1746434305279672565,534,534,282498,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,0,,12,1
sense1-1,12,1746434305966222406,534,534,282894,8ae9a50a8272e1dbd7f2ac56f1656370be896a9b8c1dc061b1d04e565149ae21,1,8,1,0
sense1-1,13,1746434306389628716,534,534,282945,d1dd61f166e90104d893f51d13bea17d06b79677c3f2161412e9662dbf7bb442,1,9,1,0
sense1-1,14,1746434307159687377,698,698,481360,757e2b57a571c539d9510a4c2fe1451ba4490db3e64b441270d4f15c4c4e5875,1,10,1,0
sense1-1,15,1746434307596497284,534,534,282713,578a8e8f4b51d7cbaad3492f142d5e926e76f2a0f218db137c79a5c883643f8e,1,11,1,0
sense1-1,16,1746434308048937821,534,534,282383,4eca278571728ef5e749af235f5b468711bf179804f5969a87dd351e849a7796,1,12,1,0
sense1-1,17,1746434308467882952,534,534,282387,89dc430f7cf62ed23178acb5b9e9e8b6308b5df48e60cfd1d01926e8748a7dd4,1,13,1,0
sense1-1,18,1746434308905193799,534,534,282584,7f8a2e1547d62c9e43c35cc7a33e7181b8ede978f9d5103b91fa59023e9eba1c,1,14,2,0
sense1-1,19,1746434309328639214,534,534,282584,7f8a2e1547d62c9e43c35cc7a33e7181b8ede978f9d5103b91fa59023e9eba1c,1,15,2,0
sense1-1,20,1746434309872517938,534,534,278430,374d525ec770836c5ab0f8b0dc7841b5b7d50b6682d9ce05e054ab37a60c7706,1,16,2,0
sense1-1,21,1746434310305556233,534,534,278430,374d525ec770836c5ab0f8b0dc7841b5b7d50b6682d9ce05e054ab37a60c7706,1,17,2,0
sense1-1,22,1746434310883358716,534,534,279016,cb482bac9332df531f9510b3181f521e06cab5e8fa3a1fcf45bad4c2b96cbc56,1,18,1,0
sense1-1,23,1746434311319468913,534,534,279019,b51bf69ffe4a733a11b36ea586fb61d574a054fc1aea7c5834442600bf70928e,1,19,1,0
sense1-1,24,1746434311886238489,534,534,278721,7d61f1fd2a837aabdc365ab504f9a42da41eb8a756b7ac5752cab9ed15070b1e,1,20,1,0
sense1-1,25,1746434312710737881,740,741,538173,f98d5fb45a778eeebc3edcb00c6d0f0579f440b0a6c8ad181dfcb0bfa4f07c86,1,21,1,0
sense1-1,26,1746434313146722461,534,534,278320,92d3fd4480e3d9c96b2e60615d5a17cfb5e65df77dc91636d859d5ce237369b3,1,22,1,0
sense1-1,27,1746434313584838878,534,534,278317,61d70a45430bbb19b03b957c0da86206c033ec301e1400e5a02a4d00a2e60503,1,23,1,0
sense1-1,28,1746434314026572073,534,534,278932,0416800b47e48ca30f03dd24d066e04b2bfd2e6230f117483fc828bdb8404009,1,24,1,0
sense1-1,29,1746434314458359602,534,534,278940,6110035a52342a733a01b0a3d0c70ef6665bf471b1d964045b11592e83706e3f,1,25,1,0
