bag,attempt_index,trigger_robot,trigger_topic,trigger_record_time_ns,robot_0_map_index,robot_1_map_index,robot_0_map_time_ns,robot_1_map_time_ns,map_pair_time_gap_s,candidate_found,legacy_replay_publish,legacy_replay_reject,matcher_error,raw_match_count,filtered_match_count,ransac_inlier_count,ransac_inlier_ratio,feature_residual_median_px,feature_residual_p90_px,legacy_visual_inlier_ratio,legacy_blend_weight,h00,h01,h02,h10,h11,h12,determinant,singular_value_min,singular_value_max,isotropic_scale,anisotropy,orthogonality_error,occupancy_iou,occupancy_overlap,occupancy_chamfer_median_px,warped_occupied_cells,target_occupied_cells,structure_se2_pass,legacy_candidate_gate_accept,legacy_candidate_gate_reasons,estimate_x_0_from_1_m,estimate_y_0_from_1_m,estimate_yaw_0_from_1_deg,reference_x_0_from_1_m,reference_y_0_from_1_m,reference_yaw_0_from_1_deg,translation_error_m,yaw_error_deg,within_0p25m_5deg,within_0p50m_10deg,replay_output_height,replay_output_width,replay_output_sha256,legacy_output_verified_exact,recorded_output_index,recorded_output_time_ns,recorded_output_delay_s,replay_hash_multiplicity,recorded_hash_multiplicity,legacy_candidate_consensus_support,legacy_gated_counterfactual_commit,legacy_gated_counterfactual_reject,legacy_gated_counterfactual_reason,rigid_candidate_found,rigid_input_correspondence_count,rigid_inlier_count,rigid_inlier_ratio,rigid_inlier_residual_median_px,rigid_inlier_residual_p90_px,rigid_source_minor_spread_px,rigid_target_minor_spread_px,rigid_estimator_reject_reason,rigid_h00,rigid_h01,rigid_h02,rigid_h10,rigid_h11,rigid_h12,rigid_occupancy_iou,rigid_occupancy_overlap,rigid_occupancy_chamfer_median_px,rigid_local_gate_accept,rigid_local_gate_reasons,rigid_estimate_x_0_from_1_m,rigid_estimate_y_0_from_1_m,rigid_estimate_yaw_0_from_1_deg,rigid_translation_error_m,rigid_yaw_error_deg,rigid_within_0p25m_5deg,rigid_within_0p50m_10deg,rigid_consensus_support,rigid_gated_counterfactual_commit,rigid_gated_counterfactual_reject,rigid_gated_counterfactual_reason
sense1-1,0,robot_1,/robot_1/predicted_map,1746434301461696950,0,0,1746434300705517516,1746434301461696950,0.756179434,1,1,0,,324,286,62,0.21678321678321677,40.53046798706055,109.64189147949219,0.1993006993006993,0.3,-0.00047518007340840995,0.011898593977093697,232.10755920410156,-0.011898593977093697,-0.00047518007340840995,260.87823486328125,0.00014180233473389493,0.01190807854919906,0.01190807854919906,0.011908078549199065,0.0,9.420563246540256e-16,0.0,0.0,240.78573608398438,673,2658,0,0,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,-4.058470057540323,3.4820377650884526,-92.28693850124772,2.619903511312308,-5.947469914945517,175.98802626368334,11.554924864012273,91.72503523506893,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,3,1746434301299582674,-0.162114276,8,12,0,0,1,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,1,153,15,0.09803921568627451,1.4079985071474155,2.46450390795872,4.011314855856657,4.33834186975273,,0.9529389289337158,0.30316232899663315,-71.4745858489762,-0.3031623289966331,0.952938928933716,89.12962219273896,0.1765026330125295,0.3656884875846501,5.730000019073486,0,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,0.05334797844277534,-0.06842692078522081,-17.647639325776794,6.414854155044249,166.36433441053987,0,0,0,0,1,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,1,robot_0,/robot_0/predicted_map,1746434301707639036,1,0,1746434301707639036,1746434301461696950,0.245942086,1,1,0,,324,286,62,0.21678321678321677,40.53046798706055,109.64189147949219,0.1993006993006993,0.3,-0.00047518007340840995,0.011898593977093697,232.10755920410156,-0.011898593977093697,-0.00047518007340840995,260.87823486328125,0.00014180233473389493,0.01190807854919906,0.01190807854919906,0.011908078549199065,0.0,9.420563246540256e-16,0.0,0.0,240.78573608398438,673,2658,0,0,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,-4.0593108287383375,3.477141759618014,-92.28693850124772,2.619903511312308,-5.947469914945517,175.98802626368334,11.551415905275741,91.72503523506893,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,4,1746434301891442403,0.183803367,8,12,0,0,1,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,1,153,15,0.09803921568627451,1.4079985071474155,2.46450390795872,4.011314855856657,4.33834186975273,,0.9529389289337158,0.30316232899663315,-71.4745858489762,-0.3031623289966331,0.952938928933716,89.12962219273896,0.1765026330125295,0.3656884875846501,5.730000019073486,0,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,0.05250720724476159,-0.07332292625566045,-17.647639325776794,6.410704066393472,166.36433441053987,0,0,0,0,1,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,2,robot_1,/robot_1/predicted_map,1746434302443211131,1,1,1746434301707639036,1746434302443211131,0.735572095,1,1,0,,324,286,62,0.21678321678321677,40.53046798706055,109.64189147949219,0.1993006993006993,0.3,-0.00047518007340840995,0.011898593977093697,232.10755920410156,-0.011898593977093697,-0.00047518007340840995,260.87823486328125,0.00014180233473389493,0.01190807854919906,0.01190807854919906,0.011908078549199065,0.0,9.420563246540256e-16,0.0,0.0,240.78573608398438,673,2658,0,0,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,-4.059010825662253,3.4768757167309254,-92.28693850124772,2.619903511312308,-5.947469914945517,175.98802626368334,11.551025378984463,91.72503523506893,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,5,1746434302323891006,-0.119320125,8,12,0,0,1,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,1,153,15,0.09803921568627451,1.4079985071474155,2.46450390795872,4.011314855856657,4.33834186975273,,0.9529389289337158,0.30316232899663315,-71.4745858489762,-0.3031623289966331,0.952938928933716,89.12962219273896,0.1765026330125295,0.3656884875846501,5.730000019073486,0,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,0.05284321561700834,-0.07310411346533413,-17.647639325776794,6.410770010797076,166.36433441053987,0,0,0,0,1,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,3,robot_0,/robot_0/predicted_map,1746434302704731818,2,1,1746434302704731818,1746434302443211131,0.261520687,1,1,0,,324,286,62,0.21678321678321677,40.53046798706055,109.64189147949219,0.1993006993006993,0.3,-0.00047518007340840995,0.011898593977093697,232.10755920410156,-0.011898593977093697,-0.00047518007340840995,260.87823486328125,0.00014180233473389493,0.01190807854919906,0.01190807854919906,0.011908078549199065,0.0,9.420563246540256e-16,0.0,0.0,240.78573608398438,673,2658,0,0,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,-4.0626553057291,3.4833483348405734,-92.28693850124772,2.619903511312308,-5.947469914945517,175.98802626368334,11.558413611033142,91.72503523506893,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,6,1746434302869062142,0.164330324,8,12,0,0,1,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,1,153,15,0.09803921568627451,1.4079985071474155,2.46450390795872,4.011314855856657,4.33834186975273,,0.9529389289337158,0.30316232899663315,-71.4745858489762,-0.3031623289966331,0.952938928933716,89.12962219273896,0.1765026330125295,0.3656884875846501,5.730000019073486,0,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,0.04919873555016113,-0.06663149535568606,-17.647639325776794,6.418160449961509,166.36433441053987,0,0,0,0,1,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,4,robot_1,/robot_1/predicted_map,1746434303445183086,2,2,1746434302704731818,1746434303445183086,0.740451268,1,1,0,,324,286,62,0.21678321678321677,40.53046798706055,109.64189147949219,0.1993006993006993,0.3,-0.00047518007340840995,0.011898593977093697,232.10755920410156,-0.011898593977093697,-0.00047518007340840995,260.87823486328125,0.00014180233473389493,0.01190807854919906,0.01190807854919906,0.011908078549199065,0.0,9.420563246540256e-16,0.0,0.0,240.78573608398438,673,2658,0,0,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,-4.061810269202432,3.4888847995246777,-92.28693850124772,2.619903511312308,-5.947469914945517,175.98802626368334,11.562443052487847,91.72503523506893,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,7,1746434303293406321,-0.151776765,8,12,0,0,1,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,1,153,15,0.09803921568627451,1.4079985071474155,2.46450390795872,4.011314855856657,4.33834186975273,,0.9529389289337158,0.30316232899663315,-71.4745858489762,-0.3031623289966331,0.952938928933716,89.12962219273896,0.1765026330125295,0.3656884875846501,5.730000019073486,0,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,0.04408389397566717,-0.06435006519073162,-17.647639325776794,6.422300667800834,166.36433441053987,0,0,0,0,1,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,5,robot_0,/robot_0/predicted_map,1746434303708974888,3,2,1746434303708974888,1746434303445183086,0.263791802,1,1,0,,281,54,54,0.19217081850533807,2.0327086448669434,4.917097568511963,0.7592592592592593,0.7,-5.377117122407071e-05,0.0017914529889822006,234.4430389404297,-0.0017914529889822006,-5.377117122407071e-05,258.2444763183594,3.2121951505880703e-06,0.0017922597888107817,0.0017922597888107821,0.0017922597888107824,1.2098716706743782e-16,6.280408479573608e-16,0.0,0.0,246.1083984375,682,2658,0,0,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,-4.091021459244358,3.522633580837669,-91.71923934487525,2.619903511312308,-5.947469914945517,175.98802626368334,11.60686754388478,92.29273439144139,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,8,1746434303875878681,0.166903793,8,12,0,0,1,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,1,142,11,0.07746478873239436,1.917093361213238,2.586685116114989,3.0282831678431306,2.871841603072326,,0.9371053449737915,0.3490466622409557,-78.59687991114416,-0.3490466622409559,0.9371053449737915,104.1594468228383,0.12269938650306748,0.24078254326561324,6.684999942779541,0,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,0.02572972481862649,-0.08213627485640476,-20.429015807650305,6.413413782385474,163.58295792866636,0,0,0,0,1,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,6,robot_1,/robot_1/predicted_map,1746434304446975231,3,3,1746434303708974888,1746434304446975231,0.738000343,1,1,0,,281,54,54,0.19217081850533807,2.0327086448669434,4.917097568511963,0.7592592592592593,0.7,-5.377117122407071e-05,0.0017914529889822006,234.4430389404297,-0.0017914529889822006,-5.377117122407071e-05,258.2444763183594,3.2121951505880703e-06,0.0017922597888107817,0.0017922597888107821,0.0017922597888107824,1.2098716706743782e-16,6.280408479573608e-16,0.0,0.0,246.1083984375,682,2658,0,0,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,-4.153379173395252,3.6950173097945407,-91.71923934487525,2.619903511312308,-5.947469914945517,175.98802626368334,11.783671677632336,92.29273439144139,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,9,1746434304301555393,-0.145419838,8,12,0,0,1,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,1,142,11,0.07746478873239436,1.917093361213238,2.586685116114989,3.0282831678431306,2.871841603072326,,0.9371053449737915,0.3490466622409557,-78.59687991114416,-0.3490466622409559,0.9371053449737915,104.1594468228383,0.12269938650306748,0.24078254326561324,6.684999942779541,0,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,-0.1575472534742112,-0.08590240696344684,-20.429015807650305,6.486309150930469,163.58295792866636,0,0,0,0,1,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,7,robot_0,/robot_0/predicted_map,1746434304708656702,4,3,1746434304708656702,1746434304446975231,0.261681471,1,1,0,,324,286,62,0.21678321678321677,40.53046798706055,109.64189147949219,0.1993006993006993,0.3,-0.00047518007340840995,0.011898593977093697,232.10755920410156,-0.011898593977093697,-0.00047518007340840995,260.87823486328125,0.00014180233473389493,0.01190807854919906,0.01190807854919906,0.011908078549199065,0.0,9.420563246540256e-16,0.0,0.0,240.78573608398438,673,2658,0,0,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,-4.121848375381052,3.6520562425839898,-92.28693850124772,2.619903511312308,-5.947469914945517,175.98802626368334,11.730393043322406,91.72503523506893,0,0,534,534,debeaca87134c1ede69d6e104cca00213bf9a058f8f6bb15d8f8c37dc4bbe120,1,10,1746434304863007562,0.15435086,8,12,0,0,1,scale|large_feature_residual|low_occupancy_iou|large_occupancy_chamfer,1,153,15,0.09803921568627451,1.4079985071474155,2.46450390795872,4.011314855856657,4.33834186975273,,0.9529389289337158,0.30316232899663315,-71.4745858489762,-0.3031623289966331,0.952938928933716,89.12962219273896,0.1765026330125295,0.3656884875846501,5.730000019073486,0,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,-0.1381858660153882,-0.08682696491500232,-17.647639325776794,6.477205632143405,166.36433441053987,0,0,0,0,1,low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,8,robot_1,/robot_1/predicted_map,1746434305509711030,4,4,1746434304708656702,1746434305509711030,0.801054328,1,1,0,,315,42,42,0.13333333333333333,1.977177381515503,5.988936901092529,0.6666666666666666,0.6666666666666666,0.11967374384403229,0.045095350593328476,183.49349975585938,-0.045095350593328476,0.11967374384403229,216.86761474609375,0.01635539561078227,0.12788821529281838,0.12788821529281838,0.1278882152928184,0.0,4.721206901147501e-16,0.0,0.0,209.994384765625,1076,2211,0,0,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,-3.477009123055811,2.933867518465771,-20.64736662700621,2.619903511312308,-5.947469914945517,175.98802626368334,10.77267368285284,163.36460710931047,0,0,534,534,8ae9a50a8272e1dbd7f2ac56f1656370be896a9b8c1dc061b1d04e565149ae21,1,12,1746434305966222406,0.456511376,1,1,0,0,1,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,1,152,8,0.05263157894736842,1.3314988406909753,2.185117219854185,1.3063558504564294,1.1175648485610163,,0.07993591534300784,-0.9968000047342871,496.808927465261,0.9968000047342871,0.07993591534300773,-20.850402045317594,0.08060182697474476,0.20352781546811397,14.423299789428711,0,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,0.07356251189674065,-0.22495243433555293,85.41511784148892,6.263470188417222,90.57290842219443,0,0,0,0,1,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread
sense1-1,9,robot_0,/robot_0/predicted_map,1746434305714345245,5,4,1746434305714345245,1746434305509711030,0.204634215,1,1,0,,315,58,58,0.18412698412698414,1.3326236009597778,5.145516872406006,0.7931034482758621,0.7,-0.008264523930847645,0.0012604671064764261,299.0108337402344,-0.0012604671064764261,-0.008264523930847645,226.6377410888672,6.989113313006245e-05,0.00836009169387887,0.00836009169387887,0.008360091693878868,0.0,6.282660258055557e-16,0.0,0.0,inf,0,2211,0,0,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,-3.146427271149084,4.749827502650196,-171.32833669881265,2.619903511312308,-5.947469914945517,175.98802626368334,12.152478871952905,12.683637037504012,0,0,534,534,d1dd61f166e90104d893f51d13bea17d06b79677c3f2161412e9662dbf7bb442,1,13,1746434306389628716,0.675283471,1,1,0,0,1,scale|low_occupancy_iou|large_occupancy_chamfer|low_spatial_spread,1,155,12,0.07741935483870968,1.6568792165006718,2.4703870638087917,23.512520652520763,24.128419023360493,,-0.2752113169670967,0.9613837584509299,80.03600944312345,-0.96138375845093,-0.27521131696709683,621.7406316841518,0.18564845292955892,0.38263229308005425,5.730000019073486,0,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer,0.47246139767536705,0.22220017588885335,-105.97460766616877,6.53271281024642,78.03736607014787,0,0,0,0,1,too_few_inliers|low_occupancy_iou|large_occupancy_chamfer
