sample_id,split,split_status,archive_partition,source_worker_prefix,obs_relpath,target_relpath,obs_sha256,target_sha256,processed_pair_sha256,obs_shape,target_shape,processed_obs_shape,processed_target_shape
train/0_0,train,preserved_archive_label_not_manuscript_split,train,0,train/0_0/local_obs_0.png,train/0_0/local_map_0.png,001be6bd42ebae46abe0af735632f6c51410212164c2900ca62b84b4a1657149,05c496246e121774f0fcfcb2197e20d866c63c961bcd7a1f4e0662ed514fe1de,5cf0c4e08353d74926f5c511e0d515e50fd146b3a5ea569c2447698b7f24ceb8,640x640x3,640x640,3x256x256,1x256x256
train/0_1,train,preserved_archive_label_not_manuscript_split,train,0,train/0_1/local_obs_0.png,train/0_1/local_map_0.png,943280e0ce5a88e46a341ee54704b579284a25d2139331ff2de5583b7e9131c0,4cc9f49f9023f04bc1d3570142d3cd35628089d439c21f2983650a5e57da219f,0766bf3a6f0cbd8b470dc2216e3e187f2e4d758a03baf4c9d25add9a6ac60940,640x640x3,640x640,3x256x256,1x256x256
train/0_10,train,preserved_archive_label_not_manuscript_split,train,0,train/0_10/local_obs_0.png,train/0_10/local_map_0.png,c2abcc9be46df079fccdbffb64d0db6ca4d177d58ea14d903647affc33ad2eae,a4cbe6caca62cb1309572351851618d8997b324b1c99e5aba05a767f55ed7269,66f4ec92d16b76780867d990b567a67cac407e67a0e725fbe306e25e6348ffd3,640x640x3,640x640,3x256x256,1x256x256
train/0_100,train,preserved_archive_label_not_manuscript_split,train,0,train/0_100/local_obs_0.png,train/0_100/local_map_0.png,08b564ed18b94be967fc06da53e19b359323753f1855f080b2380a15ee462852,f73d5bffb69e0d7be036369fa6d8d78c58592faa2dcb029fd575200e0fc84993,fa6b1b4c295054a7052c03d1d91b9952335b63f6eaa2f8b51761976a5840623d,640x640x3,640x640,3x256x256,1x256x256
train/0_101,train,preserved_archive_label_not_manuscript_split,train,0,train/0_101/local_obs_0.png,train/0_101/local_map_0.png,ee18b8b87f8d3ee92bda49017a4ff62523924c31df05d981251ff966e2256b12,113c30901edd0635e9c6cc92b517dda97107aaa8bfa3c7cc38dbbaecc8f2f5e1,25a19d70d139bee20a2f9234ca6c1b62b01017382ef0c444cf3943636615b3ec,640x640x3,640x640,3x256x256,1x256x256
train/0_102,train,preserved_archive_label_not_manuscript_split,train,0,train/0_102/local_obs_0.png,train/0_102/local_map_0.png,308effe1e6887eab95970fe4c8cb710572f64981df36d3ad4af538230a1985ce,d22031e5b61593b1ea041d75eaacceceb43438edf90876d96daf0f53d3c8c791,b483568af007938508158e375464ba37c4b8fd2042afa1729a303063afaea8d2,640x640x3,640x640,3x256x256,1x256x256
train/0_103,train,preserved_archive_label_not_manuscript_split,train,0,train/0_103/local_obs_0.png,train/0_103/local_map_0.png,0dc7c743ef2d769ef61859f36953c4977aa65bf25b8e9ad692e9f4808ca3c484,153cf04a4371402676cd5572c18b2508b7c489179a180d04f086260369961aed,b6ce5192b15292f21453ce35d696e3a62d490846bfffd1ea26bd1d5b39d27858,640x640x3,640x640,3x256x256,1x256x256
train/0_104,train,preserved_archive_label_not_manuscript_split,train,0,train/0_104/local_obs_0.png,train/0_104/local_map_0.png,96583e06a3ead8d65e16b49f297a4b529f48c4dd25e4e5171184f655c37ffa7b,e36b9866368830ea73055db31d36001006def5647c6998dcb8cd96504532306f,d734f061a71a0ca9a2e6c123f691e9bb69dc7bdbdc5c396cb04b42e06751c1ec,640x640x3,640x640,3x256x256,1x256x256
train/0_105,train,preserved_archive_label_not_manuscript_split,train,0,train/0_105/local_obs_0.png,train/0_105/local_map_0.png,ae3be845a2c6ef6f66e36dbf11feec7c710fef55a2feb4d0374689c0bb00804e,58d370215171148c0ecdafaa8d890db199d843630b5c21cdd647f809b192780a,9e1861a3a616d5478154b7e1083387a6a5146eb8f4486c8fa262e13ba655220d,640x640x3,640x640,3x256x256,1x256x256
train/0_106,train,preserved_archive_label_not_manuscript_split,train,0,train/0_106/local_obs_0.png,train/0_106/local_map_0.png,109b40f5769ddba9146ba9e451a0db3fbdc49aa7a9b608182a3bc68544b50783,5b2d66387d7c62070f2e0816c66ab183a0f426895386f805777574a5611f3cf6,ea8e41bf24d2f6f5e372f8352cb2ca85d1b84800c15ec402a03f51d06008c916,640x640x3,640x640,3x256x256,1x256x256
train/0_107,train,preserved_archive_label_not_manuscript_split,train,0,train/0_107/local_obs_0.png,train/0_107/local_map_0.png,dd6413d86c80ec70dce0c5206bd57d56037b7338d31e8b4aaf83123b568f6388,da57f62557d1440132bc5353788e98ccbba63d1916f50c835d9ec651fdee4576,dfaacadb49c143d3a74059bad9cc7fde9f02b1cc2eacccb2b2d46e587ee69d74,640x640x3,640x640,3x256x256,1x256x256
train/0_108,train,preserved_archive_label_not_manuscript_split,train,0,train/0_108/local_obs_0.png,train/0_108/local_map_0.png,29b80892d22bdea55e80c4befc86a2600ff83b743ecb0ef317571ca69c3418ba,9916bfb52b17466df0fded02864f2f2a9cb7a7d6dff132faef0dd95070a777a6,e91dd4ca84ae222d2f39e8a1272bd99cab1ec02c8b206b8c0d56e2cc027cb20b,640x640x3,640x640,3x256x256,1x256x256
train/0_109,train,preserved_archive_label_not_manuscript_split,train,0,train/0_109/local_obs_0.png,train/0_109/local_map_0.png,15fddffe107a6165b3d15c3e042ccdb5711c51bd5f5f9e03c4277b76cd6e366d,9743468e200f71527737c7245645f5c45d4320df30982f6be4a9dd2325b9e1f3,9a7b3bc066be623368a6358302f00a08d10e2ccda2000e000f0ec151c437e47d,640x640x3,640x640,3x256x256,1x256x256
train/0_11,train,preserved_archive_label_not_manuscript_split,train,0,train/0_11/local_obs_0.png,train/0_11/local_map_0.png,16506dbe5fb9cd52ccc87e49f5a921d934926ba8148d05056fc3db1188e15536,8fa4d7502063950529be794ee155062bdc2c2dacc772c57e4f09b6cfc694bc0f,90871a3ac7d1eff7cc32c830f707eb19371131888f67409b6e508b51b3304a1a,640x640x3,640x640,3x256x256,1x256x256
train/0_110,train,preserved_archive_label_not_manuscript_split,train,0,train/0_110/local_obs_0.png,train/0_110/local_map_0.png,abd7fdb051494704c0271436cfba9120d50e2e8ea93d3482e072617959c163c6,00689aad70eb69c3d6b62e9326c4a22e8724ca8e2bb5dd72d54a9195a91297ff,feea526b93035eda881da8dfacefcb86d9e5d9a2d91c1f70d4a6abdda1c8db1c,640x640x3,640x640,3x256x256,1x256x256
train/0_111,train,preserved_archive_label_not_manuscript_split,train,0,train/0_111/local_obs_0.png,train/0_111/local_map_0.png,aadaee442fa783277e22b43d253482a102ff612bc8a5bbf7038786b26ebd937a,96c8da1cdec898a94868bf8153b1fe4916e6dcde2d81585284d49f1b14fb5f50,4a9b6d5aceb55a5ed04d53a1dd4f5b7935a86b474f2b044f05f0567ded60a465,640x640x3,640x640,3x256x256,1x256x256
train/0_112,train,preserved_archive_label_not_manuscript_split,train,0,train/0_112/local_obs_0.png,train/0_112/local_map_0.png,fdf032f337689a89d8131024afd216b0de037ac26aa9bee6d4f4fb1f39f909c1,55ee30bc842142fd853e034b15d5b8b30fa6f6c1299a215996e08eaa06febb07,38b963b698ed381ec4cd0954f26692d723c30dc4e5dc1eedf14ab2e25f86dd29,640x640x3,640x640,3x256x256,1x256x256
train/0_113,train,preserved_archive_label_not_manuscript_split,train,0,train/0_113/local_obs_0.png,train/0_113/local_map_0.png,1f7cb87c343f414ee88891f0fce2abb850ab89ba73b5f5350ae722bf1a672e7e,2d66f4d8faf0bfb709a6dea8a7378caf8ff5651062dbae6572d22c3d22ff4d18,fe4fd81c458d68ec281cca8b8e62ed93e9ef2c705210761f5ae8ad248feea6e5,640x640x3,640x640,3x256x256,1x256x256
train/0_114,train,preserved_archive_label_not_manuscript_split,train,0,train/0_114/local_obs_0.png,train/0_114/local_map_0.png,17cc509354c2265cad88801f0cfba199f3a7f52be307b6b08d578cbe554db40b,63ccc7546e3e8622ce6dce5cd67dd169f0b5e815506a09b3cd4eb4fdfecbb872,b46ecc19da3ce261d5dc60969608a070c22b5b590cce855797cb40f21931f9a6,640x640x3,640x640,3x256x256,1x256x256
train/0_115,train,preserved_archive_label_not_manuscript_split,train,0,train/0_115/local_obs_0.png,train/0_115/local_map_0.png,7cc7d9cb391f999773dc680a4f2349501b0ec173fe84af424bd3397f2518a355,fcd04b04d064bb550270079bde6d6f23d7c5a029277815d2ad3753265ca4270c,841167eb6156af5732ede077007553bfe3b0690c45631bc5bfefc3c0ad743ed8,640x640x3,640x640,3x256x256,1x256x256
train/0_116,train,preserved_archive_label_not_manuscript_split,train,0,train/0_116/local_obs_0.png,train/0_116/local_map_0.png,9af632cdac4b0306d56901d2852188ca5fc68e0ae239cfa212fe5e1a8309c1cf,123ea622e376b97432bc8985282a49e9ce02136ba1865c16459d0e223a0d190c,c6f7ed8844c30d2935df0cd73cebbd2d9182f04dffa9c0ea5fbe19644242d57f,640x640x3,640x640,3x256x256,1x256x256
train/0_117,train,preserved_archive_label_not_manuscript_split,train,0,train/0_117/local_obs_0.png,train/0_117/local_map_0.png,f0c401aca8abd1474fd585920a9f9d15046ef31c70edf73ace12ff8cf44f19bf,b793d7daf10662d808818c95170c8b41497421e784d71438efe0a0ed2b672bdc,93a20f3bbb761482c1048a4cfe2ea484f0ce5deaff710901ced5ad45302b9d59,640x640x3,640x640,3x256x256,1x256x256
train/0_118,train,preserved_archive_label_not_manuscript_split,train,0,train/0_118/local_obs_0.png,train/0_118/local_map_0.png,67e0a40d89c375867f7e3b33ca1b5065fd7bc6edf7ce389065ca1886675c4c90,0e57b48c1d906d6926389a37099a25eaa150e673ec7ddfcb2e94d2f30787f2b3,fd656b6a1e6562c94932538149fac0873ef8451b0ee29f3b028434ae97b3a801,640x640x3,640x640,3x256x256,1x256x256
train/0_119,train,preserved_archive_label_not_manuscript_split,train,0,train/0_119/local_obs_0.png,train/0_119/local_map_0.png,6935cc67746000bcd777284e5c89a548a26771a3e55044aa0fe13ff8629c4eb6,e70d902d186506662406b2c39563754ad3b6372ae7bf2781054945fb79055c64,d490b21437c0225f64e12a31b62752bfa590af0d67f355b9fc6b808b59f1a8f3,640x640x3,640x640,3x256x256,1x256x256
train/0_12,train,preserved_archive_label_not_manuscript_split,train,0,train/0_12/local_obs_0.png,train/0_12/local_map_0.png,22be733cc727248d256789d24bdcce90a9486755a04395e741b4f8542ced71c9,ee17d650d20d02168d45700c8730dc65f15d2f03d37f936911d0b50697cecd57,ed82ef74b71510cf12a488c0872134c27458321b0dbe15b960e64aa999e69040,640x640x3,640x640,3x256x256,1x256x256
train/0_120,train,preserved_archive_label_not_manuscript_split,train,0,train/0_120/local_obs_0.png,train/0_120/local_map_0.png,3732e1cb68626aba483024095cb57dc53bb63c52a274a7891993967fb4e3c5a5,b0fed60ba7d51045041bd215f728325907e2ac142ed7b3d245a605812830d181,bc771b5c5bb665b0f6610080528f1f80100e121c406383815fee9d5fd89af393,640x640x3,640x640,3x256x256,1x256x256
train/0_121,train,preserved_archive_label_not_manuscript_split,train,0,train/0_121/local_obs_0.png,train/0_121/local_map_0.png,1d9d18bff61745c9bd0e356b5bc0b285fca979cf9df65efd789e21554efc254e,f1e32a37ff8f119942c379cc57771fa96681079d6bf28de37830ef6f3661f82e,4f260452625c7fae0e10fcce54fd71191708c15ff276d7fa63039c9a5ac82ef2,640x640x3,640x640,3x256x256,1x256x256
train/0_122,train,preserved_archive_label_not_manuscript_split,train,0,train/0_122/local_obs_0.png,train/0_122/local_map_0.png,7ceb70244c3833760f14d2c400deee09b21a361d89529cb6459192573c83a27e,1ad0168516feaf9cb560b14d0408e48f6f8723078a059c3b999b2ce6f1fdd160,66f2f94c5dfe80f88329a23fa77aa9de431d536a5c1ec0eb3fb2a087ab7247af,640x640x3,640x640,3x256x256,1x256x256
train/0_123,train,preserved_archive_label_not_manuscript_split,train,0,train/0_123/local_obs_0.png,train/0_123/local_map_0.png,c7c66ce6c05d62fab16015e9116f53894bffd23f8488b58098cdea6d399090d4,787faae71833979e3aed214fb27f307913de485d2733846a5a65f994c10db136,2ca75f624530ebb60f6aed71f08172294022dfa71ac179a2cf45a2a3f4e33a0e,640x640x3,640x640,3x256x256,1x256x256
train/0_124,train,preserved_archive_label_not_manuscript_split,train,0,train/0_124/local_obs_0.png,train/0_124/local_map_0.png,fa48b4e8343ecacb2d7627c2c097710834d67c849db17f66a4033893662718af,24308926773413b247a43e2db7ccc4dc1dc89a11aa7d50a4307ef673b198d2e0,a5f2d4a57f186495bb88f0d99eec8888ca2f9a17b485a8cecde30d9e41170782,640x640x3,640x640,3x256x256,1x256x256
train/0_125,train,preserved_archive_label_not_manuscript_split,train,0,train/0_125/local_obs_0.png,train/0_125/local_map_0.png,fcbf6fba50a4fb7355c8ce79c589b4a60ea7d8d49e7329b9c5c844bc2eb3300f,cab9b2d0c52d592612345b0e9abf2dcdf8a9bf5f236491c6b4263da431e88cbf,88f72d818d9ec94e71f7986480c8c42de06f879ad2ff272ce61fe04d514051e6,640x640x3,640x640,3x256x256,1x256x256
